"No","Title_en","SubTitle_en","CodeFlag","Value","MeaningParameterDescription_en","Note_en","UnitComments_en","Status"
49,"Code table 1.3 - Production status of data",,"8",,"Uncertainties in Ensembles of Regional ReAnalyses project (UERRA)",,,"Operational"
50,"Code table 1.3 - Production status of data",,"9",,"Uncertainties in Ensembles of Regional ReAnalyses project (UERRA) test",,,"Operational"
51,"Code table 1.3 - Production status of data",,"10-191",,"Reserved",,,"Operational"
52,"Code table 1.3 - Production status of data",,"192-254",,"Reserved for local use",,,"Operational"
53,"Code table 1.3 - Production status of data",,"255",,"Missing",,,"Operational"
54,"Code table 1.4 - Type of data",,"0",,"Analysis products",,,"Operational"
55,"Code table 1.4 - Type of data",,"1",,"Forecast products",,,"Operational"
56,"Code table 1.4 - Type of data",,"2",,"Analysis and forecast products",,,"Operational"
57,"Code table 1.4 - Type of data",,"3",,"Control forecast products",,,"Operational"
58,"Code table 1.4 - Type of data",,"4",,"Perturbed forecast products",,,"Operational"
59,"Code table 1.4 - Type of data",,"5",,"Control and perturbed forecast products",,,"Operational"
60,"Code table 1.4 - Type of data",,"6",,"Processed satellite observations",,,"Operational"
61,"Code table 1.4 - Type of data",,"7",,"Processed radar observations",,,"Operational"
62,"Code table 1.4 - Type of data",,"8",,"Event probability",,,"Operational"
63,"Code table 1.4 - Type of data",,"9-191",,"Reserved",,,"Operational"
64,"Code table 1.4 - Type of data",,"192-254",,"Reserved for local use",,,"Operational"
65,"Code table 1.4 - Type of data",,"255",,"Missing",,,"Operational"
66,"Code table 1.5 - Identification template number",,"0",,"Calendar definition",,,"Operational"
67,"Code table 1.5 - Identification template number",,"1",,"Paleontological offset",,,"Operational"
68,"Code table 1.5 - Identification template number",,"2",,"Calendar definition and paleontological offset",,,"Operational"
69,"Code table 1.5 - Identification template number",,"3-32767",,"Reserved",,,"Operational"
70,"Code table 1.5 - Identification template number",,"32768-65534",,"Reserved for local use",,,"Operational"
71,"Code table 1.5 - Identification template number",,"65535",,"Missing",,,"Operational"
72,"Code table 1.6 - Type of calendar",,"0",,"Gregorian",,,"Operational"
73,"Code table 1.6 - Type of calendar",,"1",,"360-day",,,"Operational"
74,"Code table 1.6 - Type of calendar",,"2",,"365-day",,,"Operational"
75,"Code table 1.6 - Type of calendar",,"3",,"Proleptic Gregorian",,,"Operational"
76,"Code table 1.6 - Type of calendar",,"4-191",,"Reserved",,,"Operational"
77,"Code table 1.6 - Type of calendar",,"192-254",,"Reserved for local use",,,"Operational"
78,"Code table 1.6 - Type of calendar",,"255",,"Missing",,,"Operational"
79,"Code table 3.0 - Source of grid definition",,"0",,"Specified in Code table 3.1",,,"Operational"
80,"Code table 3.0 - Source of grid definition",,"1",,"Predetermined grid definition",,"Defined by originating centre","Operational"
81,"Code table 3.0 - Source of grid definition",,"2-191",,"Reserved",,,"Operational"
82,"Code table 3.0 - Source of grid definition",,"192-254",,"Reserved for local use",,,"Operational"
83,"Code table 3.0 - Source of grid definition",,"255",,"A grid definition does not apply to this product",,,"Operational"
84,"Code table 3.1 - Grid definition template number",,"0",,"Latitude/longitude",,"Also called equidistant cylindrical, or Plate Carrée","Operational"
85,"Code table 3.1 - Grid definition template number",,"1",,"Rotated latitude/longitude",,,"Operational"
86,"Code table 3.1 - Grid definition template number",,"2",,"Stretched latitude/longitude",,,"Operational"
87,"Code table 3.1 - Grid definition template number",,"3",,"Stretched and rotated latitude/longitude",,,"Operational"
88,"Code table 3.1 - Grid definition template number",,"4",,"Variable resolution latitude/longitude",,,"Operational"
89,"Code table 3.1 - Grid definition template number",,"5",,"Variable resolution rotated latitude/longitude",,,"Operational"
90,"Code table 3.1 - Grid definition template number",,"6-9",,"Reserved",,,"Operational"
91,"Code table 3.1 - Grid definition template number",,"10",,"Mercator",,,"Operational"
92,"Code table 3.1 - Grid definition template number",,"11-19",,"Reserved",,,"Operational"
95,"Code table 3.1 - Grid definition template number",,"20",,"Polar stereographic projection",,"Can be south or north","Operational"
96,"Code table 3.1 - Grid definition template number",,"21-29",,"Reserved",,,"Operational"
97,"Code table 3.1 - Grid definition template number",,"30",,"Lambert conformal",,"Can be secant or tangent, conical or bipolar","Operational"
98,"Code table 3.1 - Grid definition template number",,"31",,"Albers equal area",,,"Operational"
99,"Code table 3.1 - Grid definition template number",,"32-39",,"Reserved",,,"Operational"
100,"Code table 3.1 - Grid definition template number",,"40",,"Gaussian latitude/longitude",,,"Operational"
101,"Code table 3.1 - Grid definition template number",,"41",,"Rotated Gaussian latitude/longitude",,,"Operational"
102,"Code table 3.1 - Grid definition template number",,"42",,"Stretched Gaussian latitude/longitude",,,"Operational"
103,"Code table 3.1 - Grid definition template number",,"43",,"Stretched and rotated Gaussian latitude/longitude",,,"Operational"
104,"Code table 3.1 - Grid definition template number",,"44-49",,"Reserved",,,"Operational"
105,"Code table 3.1 - Grid definition template number",,"50",,"Spherical harmonic coefficients",,,"Operational"
106,"Code table 3.1 - Grid definition template number",,"51",,"Rotated spherical harmonic coefficients",,,"Operational"
107,"Code table 3.1 - Grid definition template number",,"52",,"Stretched spherical harmonic coefficients",,,"Operational"
108,"Code table 3.1 - Grid definition template number",,"53",,"Stretched and rotated spherical harmonic coefficients",,,"Operational"
109,"Code table 3.1 - Grid definition template number",,"54-89",,"Reserved",,,"Operational"
110,"Code table 3.1 - Grid definition template number",,"90",,"Space view perspective or orthographic",,,"Operational"
111,"Code table 3.1 - Grid definition template number",,"91-99",,"Reserved",,,"Operational"
112,"Code table 3.1 - Grid definition template number",,"100",,"Triangular grid based on an icosahedron",,,"Operational"
113,"Code table 3.1 - Grid definition template number",,"101",,"General unstructured grid",,,"Operational"
114,"Code table 3.1 - Grid definition template number",,"102-109",,"Reserved",,,"Operational"
115,"Code table 3.1 - Grid definition template number",,"110",,"Equatorial azimuthal equidistant projection",,,"Operational"
116,"Code table 3.1 - Grid definition template number",,"111-119",,"Reserved",,,"Operational"
117,"Code table 3.1 - Grid definition template number",,"120",,"Azimuth-range projection",,,"Operational"
118,"Code table 3.1 - Grid definition template number",,"121-139",,"Reserved",,,"Operational"
119,"Code table 3.1 - Grid definition template number",,"140",,"Lambert azimuthal equal area projection",,,"Operational"
120,"Code table 3.1 - Grid definition template number",,"141-999",,"Reserved",,,"Operational"
121,"Code table 3.1 - Grid definition template number",,"1000",,"Cross-section grid with points equally spaced on the horizontal",,,"Experimental"
122,"Code table 3.1 - Grid definition template number",,"1001-1099",,"Reserved",,,"Operational"
123,"Code table 3.1 - Grid definition template number",,"1100",,"Hovmöller diagram grid with points equally spaced on the horizontal",,,"Experimental"
124,"Code table 3.1 - Grid definition template number",,"1101-1199",,"Reserved",,,"Operational"
125,"Code table 3.1 - Grid definition template number",,"1200",,"Time section grid",,,"Experimental"
126,"Code table 3.1 - Grid definition template number",,"1201-32767",,"Reserved",,,"Operational"
127,"Code table 3.1 - Grid definition template number",,"32768-65534",,"Reserved for local use",,,"Operational"
128,"Code table 3.1 - Grid definition template number",,"65535",,"Missing",,,"Operational"
129,"Code table 3.2 - Shape of the Earth",,"0",,"Earth assumed spherical with radius = 6 367 470.0 m",,,"Operational"
130,"Code table 3.2 - Shape of the Earth",,"1",,"Earth assumed spherical with radius specified (in m) by data producer",,,"Operational"
131,"Code table 3.2 - Shape of the Earth",,"2",,"Earth assumed oblate spheroid with size as determined by IAU in 1965 (major axis = 6 378 160.0 m, minor axis = 6 356 775.0 m, f = 1/297.0)",,,"Operational"
132,"Code table 3.2 - Shape of the Earth",,"3",,"Earth assumed oblate spheroid with major and minor axes specified (in km) by data producer",,,"Operational"
133,"Code table 3.2 - Shape of the Earth",,"4",,"Earth assumed oblate spheroid as defined in IAG-GRS80 model (major axis = 6 378 137.0 m, minor axis = 6 356 752.314 m, f = 1/298.257 222 101)",,,"Operational"
134,"Code table 3.2 - Shape of the Earth",,"5",,"Earth assumed represented by WGS84 (as used by ICAO since 1998)",,,"Operational"
135,"Code table 3.2 - Shape of the Earth",,"6",,"Earth assumed spherical with radius of 6 371 229.0 m",,,"Operational"
136,"Code table 3.2 - Shape of the Earth",,"7",,"Earth assumed oblate spheroid with major or minor axes specified (in m) by data producer",,,"Operational"
137,"Code table 3.2 - Shape of the Earth",,"8",,"Earth model assumed spherical with radius of 6 371 200 m, but the horizontal datum of the resulting latitude/longitude field is the WGS84 reference frame",,,"Operational"
138,"Code table 3.2 - Shape of the Earth",,"9",,"Earth represented by the Ordnance Survey Great Britain 1936 Datum, using the Airy 1830 Spheroid, the Greenwich meridian as 0 longitude, and the Newlyn datum as mean sea level, 0 height",,,"Operational"
139,"Code table 3.2 - Shape of the Earth",,"10-191",,"Reserved",,,"Operational"
140,"Code table 3.2 - Shape of the Earth",,"192-254",,"Reserved for local use",,,"Operational"
141,"Code table 3.2 - Shape of the Earth",,"255",,"Missing",,,"Operational"
142,"Flag table 3.3 - Resolution and component flags",,"1-2",,"Reserved",,,"Operational"
143,"Flag table 3.3 - Resolution and component flags",,"3","0","i direction increments not given",,,"Operational"
144,"Flag table 3.3 - Resolution and component flags",,"3","1","i direction increments given",,,"Operational"
145,"Flag table 3.3 - Resolution and component flags",,"4","0","j direction increments not given",,,"Operational"
146,"Flag table 3.3 - Resolution and component flags",,"4","1","j direction increments given",,,"Operational"
147,"Flag table 3.3 - Resolution and component flags",,"5","0","Resolved u- and v- components of vector quantities relative to easterly and northerly directions",,,"Operational"
148,"Flag table 3.3 - Resolution and component flags",,"5","1","Resolved u- and v- components of vector quantities relative to the defined grid in the direction of increasing x and y (or i and j) coordinates, respectively",,,"Operational"
149,"Flag table 3.3 - Resolution and component flags",,"6-8",,"Reserved - set to zero",,,"Operational"
150,"Flag table 3.4 - Scanning mode",,"1","0","Points of first row or column scan in the +i (+x) direction",,,"Operational"
151,"Flag table 3.4 - Scanning mode",,"1","1","Points of first row or column scan in the -i (-x) direction",,,"Operational"
152,"Flag table 3.4 - Scanning mode",,"2","0","Points of first row or column scan in the -j (-y) direction",,,"Operational"
153,"Flag table 3.4 - Scanning mode",,"2","1","Points of first row or column scan in the +j (+y) direction",,,"Operational"
154,"Flag table 3.4 - Scanning mode",,"3","0","Adjacent points in i (x) direction are consecutive",,,"Operational"
155,"Flag table 3.4 - Scanning mode",,"3","1","Adjacent points in j (y) direction is consecutive",,,"Operational"
156,"Flag table 3.4 - Scanning mode",,"4","0","All rows scan in the same direction",,,"Operational"
157,"Flag table 3.4 - Scanning mode",,"4","1","Adjacent rows scans in the opposite direction",,,"Operational"
158,"Flag table 3.4 - Scanning mode",,"5","0","Points within odd rows are not offset in i (x) direction",,,"Operational"
159,"Flag table 3.4 - Scanning mode",,"5","1","Points within odd rows are offset by Di/2 in i (x) direction",,,"Operational"
160,"Flag table 3.4 - Scanning mode",,"6","0","Points within even rows are not offset in i (x) direction",,,"Operational"
161,"Flag table 3.4 - Scanning mode",,"6","1","Points within even rows are offset by Di/2 in i (x) direction",,,"Operational"
162,"Flag table 3.4 - Scanning mode",,"7","0","Points are not offset in j (y) direction",,,"Operational"
163,"Flag table 3.4 - Scanning mode",,"7","1","Points are offset by Dj/2 in j (y) direction",,,"Operational"
164,"Flag table 3.4 - Scanning mode",,"8","0","Rows have Ni grid points and columns have Nj grid points",,,"Operational"
165,"Flag table 3.4 - Scanning mode",,"8","1","Rows have Ni grid points if points are not offset in i direction  Rows have Ni-1 grid points if points are offset by Di/2 in i direction  Columns have Nj grid points if points are not offset in j direction  Columns have Nj-1 grid points if points are offset by Dj/2 in j direction",,,"Operational"
166,"Flag table 3.5 - Projection centre",,"1","0","North Pole is on the projection plane",,,"Operational"
167,"Flag table 3.5 - Projection centre",,"1","1","South Pole is on the projection plane",,,"Operational"
168,"Flag table 3.5 - Projection centre",,"2","0","Only one projection centre is used",,,"Operational"
169,"Flag table 3.5 - Projection centre",,"2","1","Projection is bipolar and symmetric",,,"Operational"
170,"Code table 3.6 - Spectral data representation type",,"1",,"(see separate doc or pdf file)","(Code table 3.6)",,"Operational"
171,"Code table 3.7 - Spectral data representation mode",,"0",,"Reserved",,,"Operational"
172,"Code table 3.7 - Spectral data representation mode",,"1",,"(see separate doc or pdf file)","(Code table 3.7)",,"Operational"
173,"Code table 3.7 - Spectral data representation mode",,"2-254",,"Reserved",,,"Operational"
174,"Code table 3.7 - Spectral data representation mode",,"255",,"Missing",,,"Operational"
175,"Code table 3.8 - Grid point position",,"0",,"Grid points at triangle vertices",,,"Operational"
176,"Code table 3.8 - Grid point position",,"1",,"Grid points at centres of triangles",,,"Operational"
177,"Code table 3.8 - Grid point position",,"2",,"Grid points at midpoints of triangle sides",,,"Operational"
178,"Code table 3.8 - Grid point position",,"3-191",,"Reserved",,,"Operational"
179,"Code table 3.8 - Grid point position",,"192-254",,"Reserved for local use",,,"Operational"
180,"Code table 3.8 - Grid point position",,"255",,"Missing",,,"Operational"
181,"Flag table 3.9 - Numbering order of diamonds as seen from the corresponding pole",,"1","0","Clockwise orientation",,,"Operational"
182,"Flag table 3.9 - Numbering order of diamonds as seen from the corresponding pole",,"1","1","Anti-clockwise (i.e. counter-clockwise) orientation",,,"Operational"
183,"Flag table 3.9 - Numbering order of diamonds as seen from the corresponding pole",,"2-8",,"Reserved",,,"Operational"
184,"Flag table 3.10 - Scanning mode for one diamond",,"1","0","Points scan in +i direction, i.e. from pole to Equator",,,"Operational"
185,"Flag table 3.10 - Scanning mode for one diamond",,"1","1","Points scan in -i direction, i.e. from Equator to pole",,,"Operational"
186,"Flag table 3.10 - Scanning mode for one diamond",,"2","0","Points scan in +j direction, i.e. from west to east",,,"Operational"
187,"Flag table 3.10 - Scanning mode for one diamond",,"2","1","Points scan in -j direction, i.e. from east to west",,,"Operational"
188,"Flag table 3.10 - Scanning mode for one diamond",,"3","0","Adjacent points in i direction are consecutive",,,"Operational"
189,"Flag table 3.10 - Scanning mode for one diamond",,"3","1","Adjacent points in j direction are consecutive",,,"Operational"
190,"Flag table 3.10 - Scanning mode for one diamond",,"4-8",,"Reserved",,,"Operational"
191,"Code table 3.11 - Interpretation of list of numbers at end of section 3",,"0",,"There is no appended list",,,"Operational"
192,"Code table 3.11 - Interpretation of list of numbers at end of section 3",,"1",,"Numbers define number of points corresponding to full coordinate circles (i.e. parallels), coordinate values on each circle are multiple of the circle mesh, and extreme coordinate values given in grid definition (i.e. extreme longitudes) may not be reached in all rows",,,"Operational"
193,"Code table 3.11 - Interpretation of list of numbers at end of section 3",,"2",,"Numbers define number of points corresponding to coordinate lines delimited by extreme coordinate values given in grid definition (i.e. extreme longitudes) which are present in each row",,,"Operational"
194,"Code table 3.11 - Interpretation of list of numbers at end of section 3",,"3",,"Numbers define the actual latitudes for each row in the grid. The list of numbers are integer values of the valid latitudes in microdegrees (scaled by 10-6) or in unit equal to the ratio of the basic angle and the subdivisions number for each row, in the same order as specified in the ""scanning mode flag"" (bit no. 2)","(see Note 2)",,"Operational"
195,"Code table 3.11 - Interpretation of list of numbers at end of section 3",,"4-254",,"Reserved",,,"Operational"
196,"Code table 3.11 - Interpretation of list of numbers at end of section 3",,"255",,"Missing",,,"Operational"
197,"Code table 3.15 - Physical meaning of vertical coordinate",,"0-19",,"Reserved",,,"Operational"
198,"Code table 3.15 - Physical meaning of vertical coordinate",,"20",,"Temperature",,"K","Operational"
199,"Code table 3.15 - Physical meaning of vertical coordinate",,"21-99",,"Reserved",,,"Operational"
200,"Code table 3.15 - Physical meaning of vertical coordinate",,"100",,"Pressure",,"Pa","Operational"
201,"Code table 3.15 - Physical meaning of vertical coordinate",,"101",,"Pressure deviation from mean sea level",,"Pa","Operational"
202,"Code table 3.15 - Physical meaning of vertical coordinate",,"102",,"Altitude above mean sea level",,"m","Operational"
203,"Code table 3.15 - Physical meaning of vertical coordinate",,"103",,"Height above ground","(see Note 1)","m","Operational"
204,"Code table 3.15 - Physical meaning of vertical coordinate",,"104",,"Sigma coordinate",,,"Operational"
205,"Code table 3.15 - Physical meaning of vertical coordinate",,"105",,"Hybrid coordinate",,,"Operational"
206,"Code table 3.15 - Physical meaning of vertical coordinate",,"106",,"Depth below land surface",,"m","Operational"
207,"Code table 3.15 - Physical meaning of vertical coordinate",,"107",,"Potential temperature (theta)",,"K","Operational"
208,"Code table 3.15 - Physical meaning of vertical coordinate",,"108",,"Pressure deviation from ground to level",,"Pa","Operational"
209,"Code table 3.15 - Physical meaning of vertical coordinate",,"109",,"Potential vorticity",,"K m-2 kg-1 s-1","Operational"
210,"Code table 3.15 - Physical meaning of vertical coordinate",,"110",,"Geometrical height",,"m","Operational"
211,"Code table 3.15 - Physical meaning of vertical coordinate",,"111",,"Eta coordinate","(see Note 2)",,"Operational"
212,"Code table 3.15 - Physical meaning of vertical coordinate",,"112",,"Geopotential height",,"gpm","Operational"
213,"Code table 3.15 - Physical meaning of vertical coordinate",,"113",,"Logarithmic hybrid coordinate",,,"Operational"
214,"Code table 3.15 - Physical meaning of vertical coordinate",,"114-159",,"Reserved",,,"Operational"
215,"Code table 3.15 - Physical meaning of vertical coordinate",,"160",,"Depth below sea level",,"m","Operational"
216,"Code table 3.15 - Physical meaning of vertical coordinate",,"161-191",,"Reserved",,,"Operational"
217,"Code table 3.15 - Physical meaning of vertical coordinate",,"192-254",,"Reserved for local use",,,"Operational"
218,"Code table 3.15 - Physical meaning of vertical coordinate",,"255",,"Missing",,,"Operational"
219,"Code table 3.20 - Type of horizontal line",,"0",,"Rhumb",,,"Operational"
220,"Code table 3.20 - Type of horizontal line",,"1",,"Great circle",,,"Operational"
221,"Code table 3.20 - Type of horizontal line",,"2-191",,"Reserved",,,"Operational"
222,"Code table 3.20 - Type of horizontal line",,"192-254",,"Reserved for local use",,,"Operational"
223,"Code table 3.20 - Type of horizontal line",,"255",,"Missing",,,"Operational"
224,"Code table 3.21 - Vertical dimension coordinate values definition",,"0",,"Explicit coordinate values set",,,"Operational"
225,"Code table 3.21 - Vertical dimension coordinate values definition",,"1",,"Linear coordinates f(1) = C1, f(n) = f(n-1) + C2",,,"Operational"
226,"Code table 3.21 - Vertical dimension coordinate values definition",,"2-10",,"Reserved",,,"Operational"
227,"Code table 3.21 - Vertical dimension coordinate values definition",,"11",,"Geometric coordinates f(1) = C1, f(n) = C2 × f(n-1)",,,"Operational"
228,"Code table 3.21 - Vertical dimension coordinate values definition",,"12-191",,"Reserved",,,"Operational"
229,"Code table 3.21 - Vertical dimension coordinate values definition",,"192-254",,"Reserved for local use",,,"Operational"
230,"Code table 3.21 - Vertical dimension coordinate values definition",,"255",,"Missing",,,"Operational"
231,"Code table 4.0 - Product definition template number",,"0",,"Analysis or forecast at a horizontal level or in a horizontal layer at a point in time",,,"Operational"
232,"Code table 4.0 - Product definition template number",,"1",,"Individual ensemble forecast, control and perturbed, at a horizontal level or in a horizontal layer at a point in time",,,"Operational"
233,"Code table 4.0 - Product definition template number",,"2",,"Derived forecasts based on all ensemble members at a horizontal level or in a horizontal layer at a point in time",,,"Operational"
234,"Code table 4.0 - Product definition template number",,"3",,"Derived forecasts based on a cluster of ensemble members over a rectangular area at a horizontal level or in a horizontal layer at a point in time",,,"Operational"
235,"Code table 4.0 - Product definition template number",,"4",,"Derived forecasts based on a cluster of ensemble members over a circular area at a horizontal level or in a horizontal layer at a point in time",,,"Operational"
236,"Code table 4.0 - Product definition template number",,"5",,"Probability forecasts at a horizontal level or in a horizontal layer at a point in time",,,"Operational"
237,"Code table 4.0 - Product definition template number",,"6",,"Percentile forecasts at a horizontal level or in a horizontal layer at a point in time",,,"Operational"
238,"Code table 4.0 - Product definition template number",,"7",,"Analysis or forecast error at a horizontal level or in a horizontal layer at a point in time",,,"Operational"
239,"Code table 4.0 - Product definition template number",,"8",,"Average, accumulation, extreme values or other statistically processed values at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval",,,"Operational"
240,"Code table 4.0 - Product definition template number",,"9",,"Probability forecasts at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval",,,"Operational"
241,"Code table 4.0 - Product definition template number",,"10",,"Percentile forecasts at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval",,,"Experimental"
242,"Code table 4.0 - Product definition template number",,"11",,"Individual ensemble forecast, control and perturbed, at a horizontal level or in a horizontal layer, in a continuous or non-continuous interval",,,"Operational"
243,"Code table 4.0 - Product definition template number",,"12",,"Derived forecasts based on all ensemble members at a horizontal level or in a horizontal layer, in a continuous or non-continuous interval",,,"Operational"
244,"Code table 4.0 - Product definition template number",,"13",,"Derived forecasts based on a cluster of ensemble members over a rectangular area, at a horizontal level or in a horizontal layer, in a continuous or non-continuous interval",,,"Operational"
245,"Code table 4.0 - Product definition template number",,"14",,"Derived forecasts based on a cluster of ensemble members over a circular area, at a horizontal level or in a horizontal layer, in a continuous or non-continuous interval",,,"Operational"
246,"Code table 4.0 - Product definition template number",,"15",,"Average, accumulation, extreme values, or other statistically processed values over a spatial area at a horizontal level or in a horizontal layer at a point in time",,,"Operational"
247,"Code table 4.0 - Product definition template number",,"16-19",,"Reserved",,,"Operational"
248,"Code table 4.0 - Product definition template number",,"20",,"Radar product",,,"Operational"
249,"Code table 4.0 - Product definition template number",,"21-29",,"Reserved",,,"Operational"
250,"Code table 4.0 - Product definition template number",,"30",,"Satellite product (deprecated)",,,"Operational"
251,"Code table 4.0 - Product definition template number",,"31",,"Satellite product",,,"Operational"
252,"Code table 4.0 - Product definition template number",,"32",,"Analysis or forecast at a horizontal level or in a horizontal layer at a point in time for simulated (synthetic) satellite data",,,"Operational"
253,"Code table 4.0 - Product definition template number",,"33",,"Individual ensemble forecast, control and perturbed, at a horizontal level or in a horizontal layer at a point in time for simulated (synthetic) satellite data",,,"Operational"
254,"Code table 4.0 - Product definition template number",,"34",,"Individual ensemble forecast, control and perturbed, at a horizontal level or in a horizontal layer, in a continuous or non-continuous interval for simulated (synthetic) satellite data",,,"Operational"
255,"Code table 4.0 - Product definition template number",,"35-39",,"Reserved",,,"Operational"
256,"Code table 4.0 - Product definition template number",,"40",,"Analysis or forecast at a horizontal level or in a horizontal layer at a point in time for atmospheric chemical constituents",,,"Operational"
257,"Code table 4.0 - Product definition template number",,"41",,"Individual ensemble forecast, control and perturbed, at a horizontal level or in a horizontal layer at a point in time for atmospheric chemical constituents",,,"Operational"
258,"Code table 4.0 - Product definition template number",,"42",,"Average, accumulation and/or extreme values or other statistically processed values at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval for atmospheric chemical constituents",,,"Operational"
259,"Code table 4.0 - Product definition template number",,"43",,"Individual ensemble forecast, control and perturbed, at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval for atmospheric chemical constituents",,,"Operational"
260,"Code table 4.0 - Product definition template number",,"44",,"Analysis or forecast at a horizontal level or in a horizontal layer at a point in time for aerosol",,,"Operational"
261,"Code table 4.0 - Product definition template number",,"45",,"Individual ensemble forecast, control and perturbed, at a horizontal level or in a horizontal layer at a point in time for aerosol",,,"Operational"
