Title_en,SubTitle_en,CodeFlag,Value,MeaningParameterDescription_en,Note_en,UnitComments_en,Status
"Code table 0.0 - Discipline of processed data in the GRIB message, number of GRIB Master table",,0,,Meteorological products,,,Operational
"Code table 0.0 - Discipline of processed data in the GRIB message, number of GRIB Master table",,1,,Hydrological products,,,Operational
"Code table 0.0 - Discipline of processed data in the GRIB message, number of GRIB Master table",,2,,Land surface products,,,Operational
"Code table 0.0 - Discipline of processed data in the GRIB message, number of GRIB Master table",,3,,"Satellite remote sensing products (formerly ""Space products"")",,,Operational
"Code table 0.0 - Discipline of processed data in the GRIB message, number of GRIB Master table",,4,,Space weather products,,,Operational
"Code table 0.0 - Discipline of processed data in the GRIB message, number of GRIB Master table",,5-9,,Reserved,,,Operational
"Code table 0.0 - Discipline of processed data in the GRIB message, number of GRIB Master table",,10,,Oceanographic products,,,Operational
"Code table 0.0 - Discipline of processed data in the GRIB message, number of GRIB Master table",,11-19,,Reserved,,,Operational
"Code table 0.0 - Discipline of processed data in the GRIB message, number of GRIB Master table",,20,,Health and socioeconomic impacts,,,Operational
"Code table 0.0 - Discipline of processed data in the GRIB message, number of GRIB Master table",,21-191,,Reserved,,,Operational
"Code table 0.0 - Discipline of processed data in the GRIB message, number of GRIB Master table",,192-254,,Reserved for local use,,,Operational
"Code table 0.0 - Discipline of processed data in the GRIB message, number of GRIB Master table",,255,,Missing,,,Operational
Code table 1.0 - GRIB master tables version number,,0,,Experimental,,,Deprecated
Code table 1.0 - GRIB master tables version number,,1,,Version implemented on 7 November 2001,,,Deprecated
Code table 1.0 - GRIB master tables version number,,2,,Version implemented on 4 November 2003,,,Deprecated
Code table 1.0 - GRIB master tables version number,,3,,Version implemented on 2 November 2005,,,Deprecated
Code table 1.0 - GRIB master tables version number,,4,,Version implemented on 7 November 2007,,,Deprecated
Code table 1.0 - GRIB master tables version number,,5,,Version implemented on 4 November 2009,,,Deprecated
Code table 1.0 - GRIB master tables version number,,6,,Version implemented on 15 September 2010,,,Deprecated
Code table 1.0 - GRIB master tables version number,,7,,Version implemented on 4 May 2011,,,Deprecated
Code table 1.0 - GRIB master tables version number,,8,,Version implemented on 2 November 2011,,,Deprecated
Code table 1.0 - GRIB master tables version number,,9,,Version implemented on 2 May 2012,,,Deprecated
Code table 1.0 - GRIB master tables version number,,10,,Version implemented on 7 November 2012,,,Deprecated
Code table 1.0 - GRIB master tables version number,,11,,Version implemented on 8 May 2013,,,Deprecated
Code table 1.0 - GRIB master tables version number,,12,,Version implemented on 14 November 2013,,,Deprecated
Code table 1.0 - GRIB master tables version number,,13,,Version implemented on 7 May 2014,,,Deprecated
Code table 1.0 - GRIB master tables version number,,14,,Version implemented on 5 November 2014,,,Deprecated
Code table 1.0 - GRIB master tables version number,,15,,Version implemented on 6 May 2015,,,Deprecated
Code table 1.0 - GRIB master tables version number,,16,,Version implemented on 11 November 2015,,,Deprecated
Code table 1.0 - GRIB master tables version number,,17,,Version implemented on 4 May 2016,,,Deprecated
Code table 1.0 - GRIB master tables version number,,18,,Version implemented on 2 November 2016,,,Deprecated
Code table 1.0 - GRIB master tables version number,,19,,Version implemented on 3 May 2017,,,Deprecated
Code table 1.0 - GRIB master tables version number,,20,,Version implemented on 8 November 2017,,,Deprecated
Code table 1.0 - GRIB master tables version number,,21,,Version implemented on 2 May 2018,,,Deprecated
Code table 1.0 - GRIB master tables version number,,22,,Version implemented on 7 November 2018,,,Deprecated
Code table 1.0 - GRIB master tables version number,,23,,Pre-operational to be implemented by next amendment,,,Deprecated
Code table 1.0 - GRIB master tables version number,,24-254,,Future versions,,,Deprecated
Code table 1.0 - GRIB master tables version number,,255,,Missing,,,Deprecated
Code table 1.1 - GRIB local tables version number,,0,,Local tables not used. Only table entries and templates from the current master table are valid,,,Operational
Code table 1.1 - GRIB local tables version number,,1-254,,Number of local tables version used,,,Operational
Code table 1.1 - GRIB local tables version number,,255,,Missing,,,Operational
Code table 1.2 - Significance of reference time,,0,,Analysis,,,Operational
Code table 1.2 - Significance of reference time,,1,,Start of forecast,,,Operational
Code table 1.2 - Significance of reference time,,2,,Verifying time of forecast,,,Operational
Code table 1.2 - Significance of reference time,,3,,Observation time,,,Operational
Code table 1.2 - Significance of reference time,,4,,Local time,,,Operational
Code table 1.2 - Significance of reference time,,5-191,,Reserved,,,Operational
Code table 1.2 - Significance of reference time,,192-254,,Reserved for local use,,,Operational
Code table 1.2 - Significance of reference time,,255,,Missing,,,Operational
Code table 1.3 - Production status of data,,0,,Operational products,,,Operational
Code table 1.3 - Production status of data,,1,,Operational test products,,,Operational
Code table 1.3 - Production status of data,,2,,Research products,,,Operational
Code table 1.3 - Production status of data,,3,,Re-analysis products,,,Operational
Code table 1.3 - Production status of data,,4,,THORPEX Interactive Grand Global Ensemble (TIGGE),,,Operational
Code table 1.3 - Production status of data,,5,,THORPEX Interactive Grand Global Ensemble (TIGGE) test,,,Operational
Code table 1.3 - Production status of data,,6,,S2S operational products,,,Operational
