Title_en,OctetNo,OctetCount,Contents_en,Note_en,noteIDs,codeTable,flagTable,Status
"Quantile forecasts at a horizontal level or in a horizontal layer at a point in time for aerosol with source or sink",10,1,Parameter category,(see Code table 4.1),,4.1,,Operational
"Quantile forecasts at a horizontal level or in a horizontal layer at a point in time for aerosol with source or sink",11,1,Parameter number,(see Code table 4.2),,4.2,,Operational
"Quantile forecasts at a horizontal level or in a horizontal layer at a point in time for aerosol with source or sink",12-13,2,Aerosol type,(see Code table 4.230),,4.230,,Operational
"Quantile forecasts at a horizontal level or in a horizontal layer at a point in time for aerosol with source or sink",14,1,Source or sink,(see Code table 4.238),,4.238,,Operational
"Quantile forecasts at a horizontal level or in a horizontal layer at a point in time for aerosol with source or sink",15,1,Type of interval for first and second sizes,(see Code table 4.91),,4.91,,Operational
"Quantile forecasts at a horizontal level or in a horizontal layer at a point in time for aerosol with source or sink",16,1,Scale factor of first size,,,,,Operational
"Quantile forecasts at a horizontal level or in a horizontal layer at a point in time for aerosol with source or sink",17-20,4,Scaled value of first size in metres,,,,,Operational
"Quantile forecasts at a horizontal level or in a horizontal layer at a point in time for aerosol with source or sink",21,1,Scale factor of second size,,,,,Operational
"Quantile forecasts at a horizontal level or in a horizontal layer at a point in time for aerosol with source or sink",22-25,4,Scaled value of second size in metres,,,,,Operational
"Quantile forecasts at a horizontal level or in a horizontal layer at a point in time for aerosol with source or sink",26,1,Type of generating process,(see Code table 4.3),,4.3,,Operational
"Quantile forecasts at a horizontal level or in a horizontal layer at a point in time for aerosol with source or sink",27,1,Background generating process identifier (defined by originating centre),,,,,Operational
"Quantile forecasts at a horizontal level or in a horizontal layer at a point in time for aerosol with source or sink",28,1,Forecast generating process identifier (defined by originating centre),,,,,Operational
"Quantile forecasts at a horizontal level or in a horizontal layer at a point in time for aerosol with source or sink",29-30,2,Hours after reference time of data cut-off,,,,,Operational
"Quantile forecasts at a horizontal level or in a horizontal layer at a point in time for aerosol with source or sink",31,1,Minutes after reference time of data cut-off,,,,,Operational
"Quantile forecasts at a horizontal level or in a horizontal layer at a point in time for aerosol with source or sink",32,1,Indicator of unit of time range,(see Code table 4.4),,4.4,,Operational
"Quantile forecasts at a horizontal level or in a horizontal layer at a point in time for aerosol with source or sink",33-36,4,Forecast time in units defined by octet 32,,,,,Operational
"Quantile forecasts at a horizontal level or in a horizontal layer at a point in time for aerosol with source or sink",37,1,Type of first fixed surface,(see Code table 4.5),,4.5,,Operational
"Quantile forecasts at a horizontal level or in a horizontal layer at a point in time for aerosol with source or sink",38,1,Scale factor of first fixed surface,,,,,Operational
"Quantile forecasts at a horizontal level or in a horizontal layer at a point in time for aerosol with source or sink",39-42,4,Scaled value of first fixed surface,,,,,Operational
"Quantile forecasts at a horizontal level or in a horizontal layer at a point in time for aerosol with source or sink",43,1,Type of second fixed surface,(see Code table 4.5),,4.5,,Operational
"Quantile forecasts at a horizontal level or in a horizontal layer at a point in time for aerosol with source or sink",44,1,Scale factor of second fixed surface,,,,,Operational
"Quantile forecasts at a horizontal level or in a horizontal layer at a point in time for aerosol with source or sink",45-48,4,Scaled value of second fixed surface,,,,,Operational
"Quantile forecasts at a horizontal level or in a horizontal layer at a point in time for aerosol with source or sink",49-50,2,Total number of quantile q,,,,,Operational
"Quantile forecasts at a horizontal level or in a horizontal layer at a point in time for aerosol with source or sink",51-52,2,Quantile value (between 0 and q),,,,,Operational
