Title_en,OctetNo,OctetCount,Contents_en,Note_en,noteIDs,codeTable,flagTable,Status
"Individual ensemble forecast, control and perturbed on generalised tiles at a horizontal level or in a horizontal layer at a point in time",10,1,Parameter category,(see Code table 4.1),,4.1,,Operational
"Individual ensemble forecast, control and perturbed on generalised tiles at a horizontal level or in a horizontal layer at a point in time",11,1,Parameter number,(see Code table 4.2),,4.2,,Operational
"Individual ensemble forecast, control and perturbed on generalised tiles at a horizontal level or in a horizontal layer at a point in time",12,1,Tile classification,(see Code table 4.242),,4.242,,Operational
"Individual ensemble forecast, control and perturbed on generalised tiles at a horizontal level or in a horizontal layer at a point in time",13-14,2,Type of tile,(see Code table 4.252),,4.252,,Operational
"Individual ensemble forecast, control and perturbed on generalised tiles at a horizontal level or in a horizontal layer at a point in time",15,1,Number of used spatial tiles,,,,,Operational
"Individual ensemble forecast, control and perturbed on generalised tiles at a horizontal level or in a horizontal layer at a point in time",16,1,Number of used tile attribute combinations for type of tile,,,,,Operational
"Individual ensemble forecast, control and perturbed on generalised tiles at a horizontal level or in a horizontal layer at a point in time",17,1,Number of Used Tile attributes for tile attribute combination (NUTAFTAC),,,,,Operational
"Individual ensemble forecast, control and perturbed on generalised tiles at a horizontal level or in a horizontal layer at a point in time",,,"Repeat the following octet for each attribute of tile (n=1,NUTAFTAC)",,,,,Operational
"Individual ensemble forecast, control and perturbed on generalised tiles at a horizontal level or in a horizontal layer at a point in time",18+(n-1),,Attribute of tile,(see Code table 4.241),,2.241,,Operational
"Individual ensemble forecast, control and perturbed on generalised tiles at a horizontal level or in a horizontal layer at a point in time",,,End of repetition,,,,,Operational
"Individual ensemble forecast, control and perturbed on generalised tiles at a horizontal level or in a horizontal layer at a point in time",19+(NUTAFTAC-1),,Total number of tile attribute combinations,,,,,Operational
"Individual ensemble forecast, control and perturbed on generalised tiles at a horizontal level or in a horizontal layer at a point in time",20+(NUTAFTAC-1),,Tile index,,,,,Operational
"Individual ensemble forecast, control and perturbed on generalised tiles at a horizontal level or in a horizontal layer at a point in time",(21+(NUTAFTAC-1))-(36+(NUTAFTAC-1)),,UUID of data group,,,,,Operational
"Individual ensemble forecast, control and perturbed on generalised tiles at a horizontal level or in a horizontal layer at a point in time",37+(NUTAFTAC-1),,Type of generating process,,,,,Operational
"Individual ensemble forecast, control and perturbed on generalised tiles at a horizontal level or in a horizontal layer at a point in time",38+(NUTAFTAC-1),,Background process,,,,,Operational
"Individual ensemble forecast, control and perturbed on generalised tiles at a horizontal level or in a horizontal layer at a point in time",39+(NUTAFTAC-1),,Generating process identifier,,,,,Operational
"Individual ensemble forecast, control and perturbed on generalised tiles at a horizontal level or in a horizontal layer at a point in time",(40+(NUTAFTAC-1))-(41+(NUTAFTAC-1)),,Hours after data cut-off,,,,,Operational
"Individual ensemble forecast, control and perturbed on generalised tiles at a horizontal level or in a horizontal layer at a point in time",42+(NUTAFTAC-1),,Minutes after data cut-off,,,,,Operational
"Individual ensemble forecast, control and perturbed on generalised tiles at a horizontal level or in a horizontal layer at a point in time",43+(NUTAFTAC-1),,Indicator of unit of time range,(see Code table 4.4),,4.4,,Operational
"Individual ensemble forecast, control and perturbed on generalised tiles at a horizontal level or in a horizontal layer at a point in time",(44+(NUTAFTAC-1))-(47+(NUTAFTAC-1)),,Forecast time,,,,,Operational
"Individual ensemble forecast, control and perturbed on generalised tiles at a horizontal level or in a horizontal layer at a point in time",48+(NUTAFTAC-1),,Type of first fixed surface,(see Code table 4.5),,4.5,,Operational
"Individual ensemble forecast, control and perturbed on generalised tiles at a horizontal level or in a horizontal layer at a point in time",49+(NUTAFTAC-1),,Scale factor of first fixed surface,,,,,Operational
"Individual ensemble forecast, control and perturbed on generalised tiles at a horizontal level or in a horizontal layer at a point in time",(50+(NUTAFTAC-1))-(53+(NUTAFTAC-1)),,Scaled value of first fixed surface,,,,,Operational
"Individual ensemble forecast, control and perturbed on generalised tiles at a horizontal level or in a horizontal layer at a point in time",54+(NUTAFTAC-1),,Type of second fixed surface,(see Code table 4.5),,4.5,,Operational
"Individual ensemble forecast, control and perturbed on generalised tiles at a horizontal level or in a horizontal layer at a point in time",55+(NUTAFTAC-1),,Scale factor of second fixed surface,,,,,Operational
"Individual ensemble forecast, control and perturbed on generalised tiles at a horizontal level or in a horizontal layer at a point in time",(56+(NUTAFTAC-1))-(59+(NUTAFTAC-1)),,Scaled value of second fixed surface,,,,,Operational
"Individual ensemble forecast, control and perturbed on generalised tiles at a horizontal level or in a horizontal layer at a point in time",60+(NUTAFTAC-1),,Type of ensemble forecast,(see Code table 4.6),,4.6,,Operational
"Individual ensemble forecast, control and perturbed on generalised tiles at a horizontal level or in a horizontal layer at a point in time",(61+(NUTAFTAC-1))-(64+(NUTAFTAC-1)),,Perturbation number,,,,,Operational
"Individual ensemble forecast, control and perturbed on generalised tiles at a horizontal level or in a horizontal layer at a point in time",(65+(NUTAFTAC-1))-(68+(NUTAFTAC-1)),,Number of forecasts in ensemble,,,,,Operational
