Title_en,OctetNo,OctetCount,Contents_en,Note_en,noteIDs,codeTable,flagTable,Status
"Probability forecasts at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval for optical properties of aerosol",10,1,Parameter category,(see Code table 4.1),,4.1,,Operational
"Probability forecasts at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval for optical properties of aerosol",11,1,Parameter number,(see Code table 4.2),,4.2,,Operational
"Probability forecasts at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval for optical properties of aerosol",12-13,2,Aerosol type,(see Code table 4.233),,4.233,,Operational
"Probability forecasts at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval for optical properties of aerosol",14,1,Type of interval for first and second sizes,(see Code table 4.91),,4.91,,Operational
"Probability forecasts at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval for optical properties of aerosol",15,1,Scale factor of first size,,,,,Operational
"Probability forecasts at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval for optical properties of aerosol",16-19,4,Scaled value of first size in metres,,,,,Operational
"Probability forecasts at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval for optical properties of aerosol",20,1,Scale factor of second size,,,,,Operational
"Probability forecasts at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval for optical properties of aerosol",21-24,4,Scaled value of second size in metres,,,,,Operational
"Probability forecasts at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval for optical properties of aerosol",25,1,Type of interval for first and second wavelength,(see Code table 4.91),,4.91,,Operational
"Probability forecasts at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval for optical properties of aerosol",26,1,Scale factor of first wavelength,,,,,Operational
"Probability forecasts at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval for optical properties of aerosol",27-30,4,Scaled value of first wavelength in metres,,,,,Operational
"Probability forecasts at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval for optical properties of aerosol",31,1,Scale factor of second wavelength,,,,,Operational
"Probability forecasts at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval for optical properties of aerosol",32-35,4,Scaled value of second wavelength in metres,,,,,Operational
"Probability forecasts at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval for optical properties of aerosol",36,1,Type of generating process,(see Code table 4.3),,4.3,,Operational
"Probability forecasts at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval for optical properties of aerosol",37,1,Background generating process identifier (defined by originating centre),,,,,Operational
"Probability forecasts at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval for optical properties of aerosol",38,1,Forecast generating process identifier (defined by originating centre),,,,,Operational
"Probability forecasts at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval for optical properties of aerosol",39-40,2,Hours after reference time of data cut-off,(see Note 1),33,,,Operational
"Probability forecasts at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval for optical properties of aerosol",41,1,Minutes after reference time of data cut-off,,,,,Operational
"Probability forecasts at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval for optical properties of aerosol",42,1,Indicator of unit of time range,(see Code table 4.4),,4.4,,Operational
"Probability forecasts at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval for optical properties of aerosol",43-46,4,Forecast time in units defined by octet 42,(see Note 2),111,,,Operational
"Probability forecasts at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval for optical properties of aerosol",47,1,Type of first fixed surface,(see Code table 4.5),,4.5,,Operational
"Probability forecasts at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval for optical properties of aerosol",48,1,Scale factor of first fixed surface,,,,,Operational
"Probability forecasts at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval for optical properties of aerosol",49-52,4,Scaled value of first fixed surface,,,,,Operational
"Probability forecasts at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval for optical properties of aerosol",53,1,Type of second fixed surface,(see Code table 4.5),,4.5,,Operational
"Probability forecasts at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval for optical properties of aerosol",54,1,Scale factor of second fixed surface,,,,,Operational
"Probability forecasts at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval for optical properties of aerosol",55-58,4,Scaled value of second fixed surface,,,,,Operational
"Probability forecasts at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval for optical properties of aerosol",59,1,Type of ensemble forecast,(see Code table 4.6),,4.6,,Operational
"Probability forecasts at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval for optical properties of aerosol",60-63,4,Number of forecasts in ensemble,,,,,Operational
"Probability forecasts at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval for optical properties of aerosol",64,1,Forecast probability number,,,,,Operational
"Probability forecasts at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval for optical properties of aerosol",65,1,Total number of forecast probabilities,,,,,Operational
"Probability forecasts at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval for optical properties of aerosol",66,1,Probability type,(see Code table 4.9),,4.9,,Operational
"Probability forecasts at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval for optical properties of aerosol",67,1,Scale factor of lower limit,,,,,Operational
"Probability forecasts at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval for optical properties of aerosol",68-71,4,Scaled value of lower limit,,,,,Operational
"Probability forecasts at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval for optical properties of aerosol",72,1,Scale factor of upper limit,,,,,Operational
"Probability forecasts at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval for optical properties of aerosol",73-76,4,Scaled value of upper limit,,,,,Operational
"Probability forecasts at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval for optical properties of aerosol",77-78,2,Year of end of overall time interval,,,,,Operational
"Probability forecasts at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval for optical properties of aerosol",79,1,Month of end of overall time interval,,,,,Operational
"Probability forecasts at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval for optical properties of aerosol",80,1,Day of end of overall time interval,,,,,Operational
"Probability forecasts at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval for optical properties of aerosol",81,1,Hour of end of overall time interval,,,,,Operational
"Probability forecasts at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval for optical properties of aerosol",82,1,Minute of end of overall time interval,,,,,Operational
"Probability forecasts at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval for optical properties of aerosol",83,1,Second of end of overall time interval,,,,,Operational
"Probability forecasts at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval for optical properties of aerosol",84,1,n - number of time range specifications describing the time intervals used to calculate the statistically processed field,,,,,Operational
"Probability forecasts at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval for optical properties of aerosol",85-88,4,Total number of data values missing in statistical process,,,,,Operational
"Probability forecasts at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval for optical properties of aerosol",,,89-100   Specification of the outermost (or only) time range over which statistical processing is done,,,,,Operational
"Probability forecasts at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval for optical properties of aerosol",89,1,Statistical process used to calculate the processed field from the field at each time increment during the time range,(see Code table 4.10),,4.10,,Operational
"Probability forecasts at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval for optical properties of aerosol",90,1,Type of time increment between successive fields used in the statistical processing,(see Code table 4.11),,4.11,,Operational
"Probability forecasts at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval for optical properties of aerosol",91,1,Indicator of unit of time for time range over which statistical processing is done,(see Code table 4.4),,4.4,,Operational
"Probability forecasts at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval for optical properties of aerosol",92-95,4,Length of the time range over which statistical processing is done in units defined by the previous octet,,,,,Operational
"Probability forecasts at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval for optical properties of aerosol",96,1,Indicator of unit of time for the increment between the successive fields used,(see Code table 4.4),,4.4,,Operational
"Probability forecasts at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval for optical properties of aerosol",97-100,4,Time increment between successive fields in units defined by the previous octet,(see Notes 3 and 4),"7,110",,,Operational
"Probability forecasts at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval for optical properties of aerosol",,,"101-nn   These octets are included only if n > 1, where nn = 88 + 12 x n",,,,,Operational
"Probability forecasts at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval for optical properties of aerosol",101-112,12,"As octets 89 to 100, next innermost step of processing",,,,,Operational
"Probability forecasts at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval for optical properties of aerosol",113-nn,,"Additional time range specifications included in accordance with the value of n. Contents as octets 89 to 100, repeated as necessary",,,,,Operational
