Title_en,OctetNo,OctetCount,Contents_en,Note_en,noteIDs,codeTable,flagTable,Status
Verification scores for derived forecast based on all ensemble members at a horizontal level or in a horizontal layer at a point in time,10,1,Parameter category,(see Code table 4.1),,4.1,,Operational
Verification scores for derived forecast based on all ensemble members at a horizontal level or in a horizontal layer at a point in time,11,1,Parameter number,(see Code table 4.2),,4.2,,Operational
Verification scores for derived forecast based on all ensemble members at a horizontal level or in a horizontal layer at a point in time,12,1,Type of generating process,(see Code table 4.3),,4.3,,Operational
Verification scores for derived forecast based on all ensemble members at a horizontal level or in a horizontal layer at a point in time,13,1,Background process,,,,,Operational
Verification scores for derived forecast based on all ensemble members at a horizontal level or in a horizontal layer at a point in time,14,1,Generating process identifier,,,,,Operational
Verification scores for derived forecast based on all ensemble members at a horizontal level or in a horizontal layer at a point in time,15-16,2,Hours after data cut-off,,,,,Operational
Verification scores for derived forecast based on all ensemble members at a horizontal level or in a horizontal layer at a point in time,17,1,Minutes after data cut-off,,,,,Operational
Verification scores for derived forecast based on all ensemble members at a horizontal level or in a horizontal layer at a point in time,18,1,Indicator of unit of time range,(see Code table 4.4),,4.4,,Operational
Verification scores for derived forecast based on all ensemble members at a horizontal level or in a horizontal layer at a point in time,19-22,4,Forecast time,,,,,Operational
Verification scores for derived forecast based on all ensemble members at a horizontal level or in a horizontal layer at a point in time,23,1,Type of first fixed surface,(see Code table 4.5),,4.5,,Operational
Verification scores for derived forecast based on all ensemble members at a horizontal level or in a horizontal layer at a point in time,24,1,Scale factor of first fixed surface,,,,,Operational
Verification scores for derived forecast based on all ensemble members at a horizontal level or in a horizontal layer at a point in time,25-28,4,Scaled value of first fixed surface,,,,,Operational
Verification scores for derived forecast based on all ensemble members at a horizontal level or in a horizontal layer at a point in time,29,1,Type of second fixed surface,(see Code table 4.5),,4.5,,Operational
Verification scores for derived forecast based on all ensemble members at a horizontal level or in a horizontal layer at a point in time,30,1,Scale factor of second fixed surface,,,,,Operational
Verification scores for derived forecast based on all ensemble members at a horizontal level or in a horizontal layer at a point in time,31-34,4,Scaled value of second fixed surface,,,,,Operational
