Title_en,OctetNo,OctetCount,Contents_en,Note_en,noteIDs,codeTable,flagTable,Status
Probability forecasts from large ensemble at a horizontal level or in a horizontal layer at a point in time,10,1,Parameter category,(see Code table 4.1),,4.1,,Operational
Probability forecasts from large ensemble at a horizontal level or in a horizontal layer at a point in time,11,1,Parameter number,(see Code table 4.2),,4.2,,Operational
Probability forecasts from large ensemble at a horizontal level or in a horizontal layer at a point in time,12,1,Type of generating process,(see Code table 4.3),,4.3,,Operational
Probability forecasts from large ensemble at a horizontal level or in a horizontal layer at a point in time,13,1,Background generating process identifier (defined by originating centre),,,,,Operational
Probability forecasts from large ensemble at a horizontal level or in a horizontal layer at a point in time,14,1,Forecast generating process identifier (defined by originating centre),,,,,Operational
Probability forecasts from large ensemble at a horizontal level or in a horizontal layer at a point in time,15-16,2,Hours after reference time of data cut-off,(see Note),33,,,Operational
Probability forecasts from large ensemble at a horizontal level or in a horizontal layer at a point in time,17,1,Minutes after reference time of data cut-off,,,,,Operational
Probability forecasts from large ensemble at a horizontal level or in a horizontal layer at a point in time,18,1,Indicator of unit of time range,(see Code table 4.4),,4.4,,Operational
Probability forecasts from large ensemble at a horizontal level or in a horizontal layer at a point in time,19-22,4,Forecast time in units defined by octet 18,,,,,Operational
Probability forecasts from large ensemble at a horizontal level or in a horizontal layer at a point in time,23,1,Type of first fixed surface,(see Code table 4.5),,4.5,,Operational
Probability forecasts from large ensemble at a horizontal level or in a horizontal layer at a point in time,24,1,Scale factor of first fixed surface,,,,,Operational
Probability forecasts from large ensemble at a horizontal level or in a horizontal layer at a point in time,25-28,4,Scaled value of first fixed surface,,,,,Operational
Probability forecasts from large ensemble at a horizontal level or in a horizontal layer at a point in time,29,1,Type of second fixed surface,(see Code table 4.5),,4.5,,Operational
Probability forecasts from large ensemble at a horizontal level or in a horizontal layer at a point in time,30,1,Scale factor of second fixed surface,,,,,Operational
Probability forecasts from large ensemble at a horizontal level or in a horizontal layer at a point in time,31-34,4,Scaled value of second fixed surface,,,,,Operational
Probability forecasts from large ensemble at a horizontal level or in a horizontal layer at a point in time,35,1,Type of ensemble forecast,(see Code table 4.6),,4.6,,Operational
Probability forecasts from large ensemble at a horizontal level or in a horizontal layer at a point in time,36-39,4,Number of forecasts in ensemble,,,,,Operational
Probability forecasts from large ensemble at a horizontal level or in a horizontal layer at a point in time,40,1,Forecast probability number,,,,,Operational
Probability forecasts from large ensemble at a horizontal level or in a horizontal layer at a point in time,41,1,Total number of forecast probabilities,,,,,Operational
Probability forecasts from large ensemble at a horizontal level or in a horizontal layer at a point in time,42,1,Probability type,(see Code table 4.9),,4.9,,Operational
Probability forecasts from large ensemble at a horizontal level or in a horizontal layer at a point in time,43,1,Scale factor of lower limit,,,,,Operational
Probability forecasts from large ensemble at a horizontal level or in a horizontal layer at a point in time,44-47,4,Scaled value of lower limit,,,,,Operational
Probability forecasts from large ensemble at a horizontal level or in a horizontal layer at a point in time,48,1,Scale factor of upper limit,,,,,Operational
Probability forecasts from large ensemble at a horizontal level or in a horizontal layer at a point in time,49-52,4,Scaled value of upper limit,,,,,Operational
