Title_en,OctetNo,OctetCount,Contents_en,Note_en,noteIDs,codeTable,flagTable,Status
"Derived forecasts based on all ensemble members at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval for optical properties of aerosol with source or sink",10,1,Parameter category,(see Code table 4.1),,4.1,,Operational
"Derived forecasts based on all ensemble members at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval for optical properties of aerosol with source or sink",11,1,Parameter number,(see Code table 4.2),,4.2,,Operational
"Derived forecasts based on all ensemble members at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval for optical properties of aerosol with source or sink",12-13,2,Aerosol type,(see Code table 4.233),,4.233,,Operational
"Derived forecasts based on all ensemble members at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval for optical properties of aerosol with source or sink",14,1,Source or sink,(see Code table 4.238),,4.238,,Operational
"Derived forecasts based on all ensemble members at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval for optical properties of aerosol with source or sink",15,1,Type of interval for first and second sizes,(see Code table 4.91),,4.91,,Operational
"Derived forecasts based on all ensemble members at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval for optical properties of aerosol with source or sink",16,1,Scale factor of first size,,,,,Operational
"Derived forecasts based on all ensemble members at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval for optical properties of aerosol with source or sink",17-20,4,Scaled value of first size in metres,,,,,Operational
"Derived forecasts based on all ensemble members at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval for optical properties of aerosol with source or sink",21,1,Scale factor of second size,,,,,Operational
"Derived forecasts based on all ensemble members at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval for optical properties of aerosol with source or sink",22-25,4,Scaled value of second size in metres,,,,,Operational
"Derived forecasts based on all ensemble members at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval for optical properties of aerosol with source or sink",26,1,Type of interval for first and second wavelength,(see Code table 4.91),,4.91,,Operational
"Derived forecasts based on all ensemble members at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval for optical properties of aerosol with source or sink",27,1,Scale factor of first wavelength,,,,,Operational
"Derived forecasts based on all ensemble members at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval for optical properties of aerosol with source or sink",28-31,4,Scaled value of first wavelength in metres,,,,,Operational
"Derived forecasts based on all ensemble members at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval for optical properties of aerosol with source or sink",32,1,Scale factor of second wavelength,,,,,Operational
"Derived forecasts based on all ensemble members at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval for optical properties of aerosol with source or sink",33-36,4,Scaled value of second wavelength in metres,,,,,Operational
"Derived forecasts based on all ensemble members at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval for optical properties of aerosol with source or sink",37,1,Type of generating process,(see Code table 4.3),,4.3,,Operational
"Derived forecasts based on all ensemble members at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval for optical properties of aerosol with source or sink",38,1,Background generating process identifier (defined by originating centre),,,,,Operational
"Derived forecasts based on all ensemble members at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval for optical properties of aerosol with source or sink",39,1,Forecast generating process identifier (defined by originating centre),,,,,Operational
"Derived forecasts based on all ensemble members at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval for optical properties of aerosol with source or sink",40-41,2,Hours after reference time of data cut-off,(see Note 1),33,,,Operational
"Derived forecasts based on all ensemble members at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval for optical properties of aerosol with source or sink",42,1,Minutes after reference time of data cut-off,,,,,Operational
"Derived forecasts based on all ensemble members at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval for optical properties of aerosol with source or sink",43,1,Indicator of unit of time range,(see Code table 4.4),,4.4,,Operational
"Derived forecasts based on all ensemble members at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval for optical properties of aerosol with source or sink",44-47,4,Forecast time in units defined by octet 43,(see Note 2),111,,,Operational
"Derived forecasts based on all ensemble members at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval for optical properties of aerosol with source or sink",48,1,Type of first fixed surface,(see Code table 4.5),,4.5,,Operational
"Derived forecasts based on all ensemble members at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval for optical properties of aerosol with source or sink",49,1,Scale factor of first fixed surface,,,,,Operational
"Derived forecasts based on all ensemble members at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval for optical properties of aerosol with source or sink",50-53,4,Scaled value of first fixed surface,,,,,Operational
